penalty,alpha,l1_ratio,learning_rate,test_r2,test_rmse,test_mae
l2,0.01,0.15,constant,0.963993160808276,0.2863501412160284,0.21123060180911804
l2,0.01,0.5,constant,0.963993160808276,0.2863501412160284,0.21123060180911804
elasticnet,0.01,0.5,adaptive,0.9638396452068668,0.2869599206299409,0.20440960850286868
elasticnet,0.01,0.15,adaptive,0.9635908945720744,0.2879452417534861,0.20554431551967198
l2,0.01,0.5,adaptive,0.9634913222226094,0.288338712121578,0.2060352571921828
l2,0.01,0.85,adaptive,0.9634913222226094,0.288338712121578,0.2060352571921828
l2,0.01,0.15,adaptive,0.9634913222226094,0.288338712121578,0.2060352571921828
l1,0.0001,0.85,constant,0.9624770072513292,0.2923167064234779,0.20487002056765014
l1,0.0001,0.15,constant,0.9624770072513292,0.2923167064234779,0.20487002056765014
l1,0.0001,0.5,constant,0.9624770072513292,0.2923167064234779,0.20487002056765014
elasticnet,0.0001,0.85,constant,0.9624757863735743,0.2923214619085179,0.20487214914458068
elasticnet,0.0001,0.5,constant,0.9624729398610425,0.29233254916184714,0.20487710853555224
elasticnet,0.0001,0.15,constant,0.9624700964310445,0.2923436239888074,0.2048820577336298
l2,0.0001,0.15,constant,0.9624688787616416,0.2923483665402776,0.20488417570162296
l2,0.0001,0.85,constant,0.9624688787616416,0.2923483665402776,0.20488417570162296
l2,0.0001,0.5,constant,0.9624688787616416,0.2923483665402776,0.20488417570162296
l1,0.001,0.5,constant,0.9623933672728651,0.2926423168265424,0.20505770155980785
l1,0.001,0.15,constant,0.9623933672728651,0.2926423168265424,0.20505770155980785
l1,0.001,0.85,constant,0.9623933672728651,0.2926423168265424,0.20505770155980785
elasticnet,0.001,0.85,constant,0.9623812637793216,0.2926894057200205,0.2050788899477
elasticnet,0.001,0.5,constant,0.9623532423270734,0.2927983947013001,0.20512760612810801
l2,0.1,0.85,constant,0.959357113723307,0.3042265924588498,0.21880637626203847
l2,0.1,0.5,constant,0.959357113723307,0.3042265924588498,0.21880637626203847
l2,0.1,0.15,constant,0.959357113723307,0.3042265924588498,0.21880637626203847
l2,0.0001,0.15,invscaling,0.959295537838178,0.30445696403729067,0.2201005513240006
l2,0.0001,0.5,invscaling,0.959295537838178,0.30445696403729067,0.2201005513240006
l2,0.0001,0.85,invscaling,0.959295537838178,0.30445696403729067,0.2201005513240006
elasticnet,0.0001,0.15,invscaling,0.959295147329063,0.3044584244783348,0.2200999702019743
elasticnet,0.0001,0.5,invscaling,0.9592942358559736,0.304461833213277,0.22009861422704038
elasticnet,0.0001,0.85,invscaling,0.959293323983642,0.30446524340312076,0.22009725821916112
l1,0.0001,0.85,invscaling,0.959292933058989,0.30446670535844994,0.2200966770628447
l1,0.0001,0.5,invscaling,0.959292933058989,0.30446670535844994,0.2200966770628447
l1,0.0001,0.15,invscaling,0.959292933058989,0.30446670535844994,0.2200966770628447
l2,0.001,0.5,invscaling,0.9592703928506183,0.30455098793828606,0.22008801564810568
l2,0.001,0.15,invscaling,0.9592703928506183,0.30455098793828606,0.22008801564810568
l2,0.001,0.85,invscaling,0.9592703928506183,0.30455098793828606,0.22008801564810568
elasticnet,0.001,0.15,invscaling,0.9592664487987035,0.30456573318030955,0.22008220558613048
elasticnet,0.001,0.5,invscaling,0.9592572174790825,0.3046002426236409,0.2200688562771164
elasticnet,0.001,0.85,invscaling,0.9592479461884607,0.304634897555868,0.22005817053954121
l1,0.001,0.15,invscaling,0.9592439605340681,0.3046497942250938,0.2200535901677971
l1,0.001,0.5,invscaling,0.9592439605340681,0.3046497942250938,0.2200535901677971
l1,0.001,0.85,invscaling,0.9592439605340681,0.3046497942250938,0.2200535901677971
elasticnet,0.1,0.15,constant,0.9590994152946704,0.30518955106728163,0.218049168521435
l2,0.01,0.5,invscaling,0.9590093097040365,0.3055255383901024,0.2200144651949325
l2,0.01,0.85,invscaling,0.9590093097040365,0.3055255383901024,0.2200144651949325
l2,0.01,0.15,invscaling,0.9590093097040365,0.3055255383901024,0.2200144651949325
elasticnet,0.01,0.15,invscaling,0.9589659774880578,0.30568698482500056,0.21996879970411845
elasticnet,0.01,0.5,invscaling,0.958861998531512,0.30607404051288395,0.2198620513107761
elasticnet,0.01,0.85,invscaling,0.9587539746702198,0.306475635410826,0.21976235444487915
l1,0.01,0.5,invscaling,0.958706432197966,0.3066522150081338,0.2197310523239946
l1,0.01,0.15,invscaling,0.958706432197966,0.3066522150081338,0.2197310523239946
l1,0.01,0.85,invscaling,0.958706432197966,0.3066522150081338,0.2197310523239946
elasticnet,0.1,0.5,constant,0.9584774002739466,0.30750145175195603,0.2163330953250228
elasticnet,0.1,0.85,constant,0.9580644002374643,0.30902693280563065,0.21567225789696318
l1,0.1,0.15,constant,0.9580451969142094,0.30909768015280603,0.2161964567154621
l1,0.1,0.85,constant,0.9580451969142094,0.30909768015280603,0.2161964567154621
l1,0.1,0.5,constant,0.9580451969142094,0.30909768015280603,0.2161964567154621
l2,0.1,0.15,adaptive,0.9567680468653248,0.31376704695228,0.21845900185603756
l2,0.1,0.5,adaptive,0.9567680468653248,0.31376704695228,0.21845900185603756
l2,0.1,0.85,adaptive,0.9567680468653248,0.31376704695228,0.21845900185603756
elasticnet,0.1,0.15,adaptive,0.956217753109051,0.3157576817649201,0.2184432658954047
l2,0.1,0.15,invscaling,0.9555219431678288,0.31825688283893444,0.2210194348882604
l2,0.1,0.5,invscaling,0.9555219431678288,0.31825688283893444,0.2210194348882604
l2,0.1,0.85,invscaling,0.9555219431678288,0.31825688283893444,0.2210194348882604
elasticnet,0.1,0.5,adaptive,0.9549946958034206,0.3201376501263848,0.2188401137396074
elasticnet,0.1,0.15,invscaling,0.9547069754100543,0.3211593450709893,0.2215080507568434
l1,0.1,0.85,adaptive,0.9546348522287944,0.3214149453558135,0.22180065944079522
l1,0.1,0.5,adaptive,0.9546348522287944,0.3214149453558135,0.22180065944079522
l1,0.1,0.15,adaptive,0.9546348522287944,0.3214149453558135,0.22180065944079522
elasticnet,0.1,0.85,adaptive,0.95439847305608,0.3222512380820407,0.220683125975813
elasticnet,0.1,0.5,invscaling,0.9524997409346256,0.32889168299381205,0.2237569259737339
elasticnet,0.1,0.85,invscaling,0.9498387365617638,0.33797854769246094,0.22766647269849533
l1,0.1,0.85,invscaling,0.9485509343712138,0.34228955595603644,0.2301802162320803
l1,0.1,0.15,invscaling,0.9485509343712138,0.34228955595603644,0.2301802162320803
l1,0.1,0.5,invscaling,0.9485509343712138,0.34228955595603644,0.2301802162320803
l2,1.0,0.15,adaptive,0.8799485243655328,0.5228638944976098,0.37145682392828305
l2,1.0,0.85,adaptive,0.8799485243655328,0.5228638944976098,0.37145682392828305
l2,1.0,0.5,adaptive,0.8799485243655328,0.5228638944976098,0.37145682392828305
l2,1.0,0.15,invscaling,0.8764528651893775,0.5304216487002573,0.3766873780095373
l2,1.0,0.5,invscaling,0.8764528651893775,0.5304216487002573,0.3766873780095373
l2,1.0,0.85,invscaling,0.8764528651893775,0.5304216487002573,0.3766873780095373
elasticnet,1.0,0.15,adaptive,0.8470812029961046,0.5901132124499098,0.4254284203538032
l2,1.0,0.85,constant,0.8468188981843104,0.5906191123673744,0.42422988241969267
l2,1.0,0.5,constant,0.8468188981843104,0.5906191123673744,0.42422988241969267
l2,1.0,0.15,constant,0.8468188981843104,0.5906191123673744,0.42422988241969267
elasticnet,1.0,0.15,invscaling,0.8414841782219068,0.6008156136178445,0.4342238297109686
elasticnet,1.0,0.5,constant,0.8128447405908291,0.6528387433062964,0.5021189761642632
elasticnet,1.0,0.15,constant,0.795383521479214,0.6826140219580974,0.5012934284976959
elasticnet,1.0,0.5,adaptive,0.7255451459149136,0.7905700549091634,0.5914106584291473
